Team,Conf,Year
Charlotte,A10,2012
Chattanooga,SC,2012
Chicago St.,GWC,2012
Cincinnati,BE,2012
Clemson,ACC,2012
Cleveland St.,Horz,2012
Coastal Carolina,BSth,2012
Colgate,Pat,2012
College of Charleston,SC,2012
Colorado,P12,2012
Colorado St.,MWC,2012
Columbia,Ivy,2012
Connecticut,BE,2012
Coppin St.,MEAC,2012
Cornell,Ivy,2012
Creighton,MVC,2012
Dartmouth,Ivy,2012
Davidson,SC,2012
Dayton,A10,2012
DePaul,BE,2012
Delaware,CAA,2012
Delaware St.,MEAC,2012
Denver,SB,2012
Detroit,Horz,2012
Drake,MVC,2012
Drexel,CAA,2012
Duke,ACC,2012
Duquesne,A10,2012
East Carolina,CUSA,2012
East Tennessee St.,ASun,2012
Eastern Illinois,OVC,2012
Eastern Kentucky,OVC,2012
Eastern Michigan,MAC,2012
Eastern Washington,BSky,2012
Elon,SC,2012
Evansville,MVC,2012
FIU,SB,2012
Fairfield,MAAC,2012
Fairleigh Dickinson,NEC,2012
Florida,SEC,2012
Florida A&M,MEAC,2012
Florida Atlantic,SB,2012
Florida Gulf Coast,ASun,2012
Florida St.,ACC,2012
Fordham,A10,2012
Fresno St.,WAC,2012
Furman,SC,2012
Gardner Webb,BSth,2012
George Mason,CAA,2012
George Washington,A10,2012
Georgetown,BE,2012
Georgia,SEC,2012
Georgia Southern,SC,2012
Georgia St.,CAA,2012
Georgia Tech,ACC,2012
Gonzaga,WCC,2012
Grambling St.,SWAC,2012
Green Bay,Horz,2012
Hampton,MEAC,2012
Hartford,AE,2012
Harvard,Ivy,2012
Hawaii,WAC,2012
High Point,BSth,2012
Hofstra,CAA,2012
Holy Cross,Pat,2012
Houston,CUSA,2012
Houston Baptist,GWC,2012
Howard,MEAC,2012
IPFW,Sum,2012
IUPUI,Sum,2012
Idaho,WAC,2012
Idaho St.,BSky,2012
Illinois,B10,2012
Illinois Chicago,Horz,2012
Illinois St.,MVC,2012
Indiana,B10,2012
Indiana St.,MVC,2012
Iona,MAAC,2012
Iowa,B10,2012
Iowa St.,B12,2012
Jackson St.,SWAC,2012
Jacksonville,ASun,2012
Jacksonville St.,OVC,2012
James Madison,CAA,2012
Kansas,B12,2012
Kansas St.,B12,2012
Kennesaw St.,ASun,2012
Kent St.,MAC,2012
Kentucky,SEC,2012
LIU Brooklyn,NEC,2012
LSU,SEC,2012
La Salle,A10,2012
Lafayette,Pat,2012
Lamar,Slnd,2012
Lehigh,Pat,2012
Liberty,BSth,2012
Lipscomb,ASun,2012
Long Beach St.,BW,2012
Longwood,ind,2012
Louisiana Lafayette,SB,2012
Louisiana Monroe,SB,2012
Louisiana Tech,WAC,2012
Louisville,BE,2012
Loyola Chicago,Horz,2012
Loyola MD,MAAC,2012
Loyola Marymount,WCC,2012
Maine,AE,2012
Manhattan,MAAC,2012
Marist,MAAC,2012
Marquette,BE,2012
Marshall,CUSA,2012
Maryland,ACC,2012
Maryland Eastern Shore,MEAC,2012
Massachusetts,A10,2012
McNeese St.,Slnd,2012
Memphis,CUSA,2012
Mercer,ASun,2012
Miami FL,ACC,2012
Miami OH,MAC,2012
Michigan,B10,2012
Michigan St.,B10,2012
Middle Tennessee,SB,2012
Milwaukee,Horz,2012
Minnesota,B10,2012
Mississippi,SEC,2012
Mississippi St.,SEC,2012
Mississippi Valley St.,SWAC,2012
Missouri,B12,2012
Missouri St.,MVC,2012
Monmouth,NEC,2012
Montana,BSky,2012
Montana St.,BSky,2012
Morehead St.,OVC,2012
Morgan St.,MEAC,2012
Mount St. Mary's,NEC,2012
Murray St.,OVC,2012
N.C. State,ACC,2012
NJIT,GWC,2012
Navy,Pat,2012
Nebraska,B10,2012
Nebraska Omaha,ind,2012
Nevada,WAC,2012
New Hampshire,AE,2012
New Mexico,MWC,2012
New Mexico St.,WAC,2012
Niagara,MAAC,2012
Nicholls St.,Slnd,2012
Norfolk St.,MEAC,2012
North Carolina,ACC,2012
North Carolina A&T,MEAC,2012
North Carolina Central,MEAC,2012
North Dakota,GWC,2012
North Dakota St.,Sum,2012
North Florida,ASun,2012
North Texas,SB,2012
Northeastern,CAA,2012
Northern Arizona,BSky,2012
Northern Colorado,BSky,2012
Northern Illinois,MAC,2012
Northern Iowa,MVC,2012
Northwestern,B10,2012
Northwestern St.,Slnd,2012
Notre Dame,BE,2012
Oakland,Sum,2012
Ohio,MAC,2012
Ohio St.,B10,2012
Oklahoma,B12,2012
Oklahoma St.,B12,2012
Old Dominion,CAA,2012
Oral Roberts,Sum,2012
Oregon,P12,2012
Oregon St.,P12,2012
Pacific,BW,2012
Penn,Ivy,2012
Penn St.,B10,2012
Pepperdine,WCC,2012
Pittsburgh,BE,2012
Portland,WCC,2012
Portland St.,BSky,2012
Prairie View A&M,SWAC,2012
Presbyterian,BSth,2012
Princeton,Ivy,2012
Providence,BE,2012
Purdue,B10,2012
Quinnipiac,NEC,2012
Radford,BSth,2012
Rhode Island,A10,2012
Rice,CUSA,2012
Richmond,A10,2012
Rider,MAAC,2012
Robert Morris,NEC,2012
Rutgers,BE,2012
SIU Edwardsville,OVC,2012
SMU,CUSA,2012
Sacramento St.,BSky,2012
Sacred Heart,NEC,2012
Saint Joseph's,A10,2012
Saint Louis,A10,2012
Saint Mary's,WCC,2012
Saint Peter's,MAAC,2012
Sam Houston St.,Slnd,2012
Samford,SC,2012
San Diego,WCC,2012
San Diego St.,MWC,2012
San Francisco,WCC,2012
San Jose St.,WAC,2012
Santa Clara,WCC,2012
Savannah St.,MEAC,2012
Seattle,ind,2012
Seton Hall,BE,2012
Siena,MAAC,2012
South Alabama,SB,2012
South Carolina,SEC,2012
South Carolina St.,MEAC,2012
South Dakota,Sum,2012
South Dakota St.,Sum,2012
South Florida,BE,2012
Southeast Missouri St.,OVC,2012
Southeastern Louisiana,Slnd,2012
Southern,SWAC,2012
Southern Illinois,MVC,2012
Southern Miss,CUSA,2012
Southern Utah,Sum,2012
St. Bonaventure,A10,2012
St. Francis NY,NEC,2012
St. Francis PA,NEC,2012
St. John's,BE,2012
Stanford,P12,2012
Stephen F. Austin,Slnd,2012
Stetson,ASun,2012
Stony Brook,AE,2012
Syracuse,BE,2012
TCU,MWC,2012
Temple,A10,2012
Tennessee,SEC,2012
Tennessee Martin,OVC,2012
Tennessee St.,OVC,2012
Tennessee Tech,OVC,2012
Texas,B12,2012
Texas A&M,B12,2012
Texas A&M Corpus Chris,Slnd,2012
Texas Pan American,GWC,2012
Texas Southern,SWAC,2012
Texas St.,Slnd,2012
Texas Tech,B12,2012
The Citadel,SC,2012
Toledo,MAC,2012
Towson,CAA,2012
Troy,SB,2012
Tulane,CUSA,2012
Tulsa,CUSA,2012
UAB,CUSA,2012
UC Davis,BW,2012
UC Irvine,BW,2012
UC Riverside,BW,2012
UC Santa Barbara,BW,2012
UCF,CUSA,2012
UCLA,P12,2012
UMBC,AE,2012
UMKC,Sum,2012
UNC Asheville,BSth,2012
UNC Greensboro,SC,2012
UNC Wilmington,CAA,2012
UNLV,MWC,2012
USC,P12,2012
USC Upstate,ASun,2012
UT Arlington,Slnd,2012
UTEP,CUSA,2012
UTSA,Slnd,2012
Utah,P12,2012
Utah St.,WAC,2012
Utah Valley,GWC,2012
VCU,CAA,2012
VMI,BSth,2012
Valparaiso,Horz,2012
Vanderbilt,SEC,2012
Vermont,AE,2012
Villanova,BE,2012
Virginia,ACC,2012
Virginia Tech,ACC,2012
Wagner,NEC,2012
Wake Forest,ACC,2012
Washington,P12,2012
Washington St.,P12,2012
Weber St.,BSky,2012
West Virginia,BE,2012
Western Carolina,SC,2012
Western Illinois,Sum,2012
Western Kentucky,SB,2012
Western Michigan,MAC,2012
Wichita St.,MVC,2012
William & Mary,CAA,2012
Winthrop,BSth,2012
Wisconsin,B10,2012
Wofford,SC,2012
Wright St.,Horz,2012
Wyoming,MWC,2012
Xavier,A10,2012
Yale,Ivy,2012
Youngstown St.,Horz,2012
Air Force,MWC,2011
Akron,MAC,2011
Alabama,SEC,2011
Alabama A&M,SWAC,2011
Alabama St.,SWAC,2011
Albany,AE,2011
Alcorn St.,SWAC,2011
American,Pat,2011
Appalachian St.,SC,2011
Arizona,P10,2011
Arizona St.,P10,2011
Arkansas,SEC,2011
Arkansas Little Rock,SB,2011
Arkansas Pine Bluff,SWAC,2011
Arkansas St.,SB,2011
Army,Pat,2011
Auburn,SEC,2011
Austin Peay,OVC,2011
BYU,MWC,2011
Ball St.,MAC,2011
Baylor,B12,2011
Belmont,ASun,2011
Bethune Cookman,MEAC,2011
Binghamton,AE,2011
Boise St.,WAC,2011
Boston College,ACC,2011
Boston University,AE,2011
Bowling Green,MAC,2011
Bradley,MVC,2011
Brown,Ivy,2011
Bryant,NEC,2011
Bucknell,Pat,2011
Buffalo,MAC,2011
Butler,Horz,2011
Cal Poly,BW,2011
Cal St. Bakersfield,ind,2011
Cal St. Fullerton,BW,2011
Cal St. Northridge,BW,2011
California,P10,2011
Campbell,ASun,2011
Canisius,MAAC,2011
Centenary,Sum,2011
Central Arkansas,Slnd,2011
Central Connecticut,NEC,2011
Central Michigan,MAC,2011
Charleston Southern,BSth,2011
Charlotte,A10,2011
Chattanooga,SC,2011
Chicago St.,GWC,2011
Cincinnati,BE,2011
Clemson,ACC,2011
Cleveland St.,Horz,2011
Coastal Carolina,BSth,2011
Colgate,Pat,2011
College of Charleston,SC,2011
Colorado,B12,2011
Colorado St.,MWC,2011
Columbia,Ivy,2011
Connecticut,BE,2011
Coppin St.,MEAC,2011
Cornell,Ivy,2011
Creighton,MVC,2011
Dartmouth,Ivy,2011
Davidson,SC,2011
Dayton,A10,2011
DePaul,BE,2011
Delaware,CAA,2011
Delaware St.,MEAC,2011
Denver,SB,2011
Detroit,Horz,2011
Drake,MVC,2011
Drexel,CAA,2011
Duke,ACC,2011
Duquesne,A10,2011
East Carolina,CUSA,2011
East Tennessee St.,ASun,2011
Eastern Illinois,OVC,2011
Eastern Kentucky,OVC,2011
Eastern Michigan,MAC,2011
Eastern Washington,BSky,2011
Elon,SC,2011
Evansville,MVC,2011
FIU,SB,2011
Fairfield,MAAC,2011
Fairleigh Dickinson,NEC,2011
Florida,SEC,2011
Florida A&M,MEAC,2011
Florida Atlantic,SB,2011
Florida Gulf Coast,ASun,2011
Florida St.,ACC,2011
Fordham,A10,2011
Fresno St.,WAC,2011
Furman,SC,2011
Gardner Webb,BSth,2011
George Mason,CAA,2011
George Washington,A10,2011
Georgetown,BE,2011
Georgia,SEC,2011
Georgia Southern,SC,2011
Georgia St.,CAA,2011
Georgia Tech,ACC,2011
Gonzaga,WCC,2011
Grambling St.,SWAC,2011
Green Bay,Horz,2011
Hampton,MEAC,2011
Hartford,AE,2011
Harvard,Ivy,2011
Hawaii,WAC,2011
High Point,BSth,2011
Hofstra,CAA,2011
Holy Cross,Pat,2011
Houston,CUSA,2011
Houston Baptist,GWC,2011
Howard,MEAC,2011
IPFW,Sum,2011
IUPUI,Sum,2011
Idaho,WAC,2011
Idaho St.,BSky,2011
Illinois,B10,2011
Illinois Chicago,Horz,2011
Illinois St.,MVC,2011
Indiana,B10,2011
Indiana St.,MVC,2011
Iona,MAAC,2011
Iowa,B10,2011
Iowa St.,B12,2011
Jackson St.,SWAC,2011
Jacksonville,ASun,2011
Jacksonville St.,OVC,2011
James Madison,CAA,2011
Kansas,B12,2011
Kansas St.,B12,2011
Kennesaw St.,ASun,2011
Kent St.,MAC,2011
Kentucky,SEC,2011
LIU Brooklyn,NEC,2011
LSU,SEC,2011
La Salle,A10,2011
Lafayette,Pat,2011
Lamar,Slnd,2011
Lehigh,Pat,2011
Liberty,BSth,2011
Lipscomb,ASun,2011
Long Beach St.,BW,2011
Longwood,ind,2011
Louisiana Lafayette,SB,2011
Louisiana Monroe,SB,2011
Louisiana Tech,WAC,2011
Louisville,BE,2011
Loyola Chicago,Horz,2011
Loyola MD,MAAC,2011
Loyola Marymount,WCC,2011
Maine,AE,2011
Manhattan,MAAC,2011
Marist,MAAC,2011
Marquette,BE,2011
Marshall,CUSA,2011
Maryland,ACC,2011
Maryland Eastern Shore,MEAC,2011
Massachusetts,A10,2011
McNeese St.,Slnd,2011
Memphis,CUSA,2011
Mercer,ASun,2011
Miami FL,ACC,2011
Miami OH,MAC,2011
Michigan,B10,2011
Michigan St.,B10,2011
Middle Tennessee,SB,2011
Milwaukee,Horz,2011
Minnesota,B10,2011
Mississippi,SEC,2011
Mississippi St.,SEC,2011
Mississippi Valley St.,SWAC,2011
Missouri,B12,2011
Missouri St.,MVC,2011
Monmouth,NEC,2011
Montana,BSky,2011
Montana St.,BSky,2011
Morehead St.,OVC,2011
Morgan St.,MEAC,2011
Mount St. Mary's,NEC,2011
Murray St.,OVC,2011
N.C. State,ACC,2011
NJIT,GWC,2011
Navy,Pat,2011
Nebraska,B12,2011
Nevada,WAC,2011
New Hampshire,AE,2011
New Mexico,MWC,2011
New Mexico St.,WAC,2011
Niagara,MAAC,2011
Nicholls St.,Slnd,2011
Norfolk St.,MEAC,2011
North Carolina,ACC,2011
North Carolina A&T,MEAC,2011
North Carolina Central,ind,2011
North Dakota,GWC,2011
North Dakota St.,Sum,2011
North Florida,ASun,2011
North Texas,SB,2011
Northeastern,CAA,2011
Northern Arizona,BSky,2011
Northern Colorado,BSky,2011
Northern Illinois,MAC,2011
Northern Iowa,MVC,2011
Northwestern,B10,2011
Northwestern St.,Slnd,2011
Notre Dame,BE,2011
Oakland,Sum,2011
Ohio,MAC,2011
Ohio St.,B10,2011
Oklahoma,B12,2011
Oklahoma St.,B12,2011
Old Dominion,CAA,2011
Oral Roberts,Sum,2011
Oregon,P10,2011
Oregon St.,P10,2011
Pacific,BW,2011
Penn,Ivy,2011
Penn St.,B10,2011
Pepperdine,WCC,2011
Pittsburgh,BE,2011
Portland,WCC,2011
Portland St.,BSky,2011
Prairie View A&M,SWAC,2011
Presbyterian,BSth,2011
Princeton,Ivy,2011
Providence,BE,2011
Purdue,B10,2011
Quinnipiac,NEC,2011
Radford,BSth,2011
Rhode Island,A10,2011
Rice,CUSA,2011
Richmond,A10,2011
Rider,MAAC,2011
Robert Morris,NEC,2011
Rutgers,BE,2011
SIU Edwardsville,ind,2011
SMU,CUSA,2011
Sacramento St.,BSky,2011
Sacred Heart,NEC,2011
Saint Joseph's,A10,2011
Saint Louis,A10,2011
Saint Mary's,WCC,2011
Saint Peter's,MAAC,2011
Sam Houston St.,Slnd,2011
Samford,SC,2011
San Diego,WCC,2011
San Diego St.,MWC,2011
San Francisco,WCC,2011
San Jose St.,WAC,2011
Santa Clara,WCC,2011
Savannah St.,ind,2011
Seattle,ind,2011
Seton Hall,BE,2011
Siena,MAAC,2011
South Alabama,SB,2011
South Carolina,SEC,2011
South Carolina St.,MEAC,2011
South Dakota,GWC,2011
South Dakota St.,Sum,2011
South Florida,BE,2011
Southeast Missouri St.,OVC,2011
Southeastern Louisiana,Slnd,2011
Southern,SWAC,2011
Southern Illinois,MVC,2011
Southern Miss,CUSA,2011
Southern Utah,Sum,2011
St. Bonaventure,A10,2011
St. Francis NY,NEC,2011
St. Francis PA,NEC,2011
St. John's,BE,2011
Stanford,P10,2011
Stephen F. Austin,Slnd,2011
Stetson,ASun,2011
Stony Brook,AE,2011
Syracuse,BE,2011
TCU,MWC,2011
Temple,A10,2011
Tennessee,SEC,2011
Tennessee Martin,OVC,2011
Tennessee St.,OVC,2011
Tennessee Tech,OVC,2011
Texas,B12,2011
Texas A&M,B12,2011
Texas A&M Corpus Chris,Slnd,2011
Texas Pan American,GWC,2011
Texas Southern,SWAC,2011
Texas St.,Slnd,2011
Texas Tech,B12,2011
The Citadel,SC,2011
Toledo,MAC,2011
Towson,CAA,2011
Troy,SB,2011
Tulane,CUSA,2011
Tulsa,CUSA,2011
UAB,CUSA,2011
UC Davis,BW,2011
UC Irvine,BW,2011
UC Riverside,BW,2011
UC Santa Barbara,BW,2011
UCF,CUSA,2011
UCLA,P10,2011
UMBC,AE,2011
UMKC,Sum,2011
UNC Asheville,BSth,2011
UNC Greensboro,SC,2011
UNC Wilmington,CAA,2011
UNLV,MWC,2011
USC,P10,2011
USC Upstate,ASun,2011
UT Arlington,Slnd,2011
UTEP,CUSA,2011
UTSA,Slnd,2011
Utah,MWC,2011
Utah St.,WAC,2011
Utah Valley,GWC,2011
VCU,CAA,2011
VMI,BSth,2011
Valparaiso,Horz,2011
Vanderbilt,SEC,2011
Vermont,AE,2011
Villanova,BE,2011
Virginia,ACC,2011
Virginia Tech,ACC,2011
Wagner,NEC,2011
Wake Forest,ACC,2011
Washington,P10,2011
Washington St.,P10,2011
Weber St.,BSky,2011
West Virginia,BE,2011
Western Carolina,SC,2011
Western Illinois,Sum,2011
Western Kentucky,SB,2011
Western Michigan,MAC,2011
Wichita St.,MVC,2011
William & Mary,CAA,2011
Winthrop,BSth,2011
Wisconsin,B10,2011
Wofford,SC,2011
Wright St.,Horz,2011
Wyoming,MWC,2011
Xavier,A10,2011
Yale,Ivy,2011
Youngstown St.,Horz,2011
Air Force,MWC,2010
Akron,MAC,2010
Alabama,SEC,2010
Alabama A&M,SWAC,2010
Alabama St.,SWAC,2010
Albany,AE,2010
Alcorn St.,SWAC,2010
American,Pat,2010
Appalachian St.,SC,2010
Arizona,P10,2010
Arizona St.,P10,2010
Arkansas,SEC,2010
Arkansas Little Rock,SB,2010
Arkansas Pine Bluff,SWAC,2010
Arkansas St.,SB,2010
Army,Pat,2010
Auburn,SEC,2010
Austin Peay,OVC,2010
BYU,MWC,2010
Ball St.,MAC,2010
Baylor,B12,2010
Belmont,ASun,2010
Bethune Cookman,MEAC,2010
Binghamton,AE,2010
Boise St.,WAC,2010
Boston College,ACC,2010
Boston University,AE,2010
Bowling Green,MAC,2010
Bradley,MVC,2010
Brown,Ivy,2010
Bryant,NEC,2010
Bucknell,Pat,2010
Buffalo,MAC,2010
Butler,Horz,2010
Cal Poly,BW,2010
Cal St. Bakersfield,ind,2010
Cal St. Fullerton,BW,2010
Cal St. Northridge,BW,2010
California,P10,2010
Campbell,ASun,2010
Canisius,MAAC,2010
Centenary,Sum,2010
Central Arkansas,Slnd,2010
Central Connecticut,NEC,2010
Central Michigan,MAC,2010
Charleston Southern,BSth,2010
Charlotte,A10,2010
Chattanooga,SC,2010
Chicago St.,GWC,2010
Cincinnati,BE,2010
Clemson,ACC,2010
Cleveland St.,Horz,2010
Coastal Carolina,BSth,2010
Colgate,Pat,2010
College of Charleston,SC,2010
Colorado,B12,2010
Colorado St.,MWC,2010
Columbia,Ivy,2010
Connecticut,BE,2010
Coppin St.,MEAC,2010
Cornell,Ivy,2010
Creighton,MVC,2010
Dartmouth,Ivy,2010
Davidson,SC,2010
Dayton,A10,2010
DePaul,BE,2010
Delaware,CAA,2010
Delaware St.,MEAC,2010
Denver,SB,2010
Detroit,Horz,2010
Drake,MVC,2010
Drexel,CAA,2010
Duke,ACC,2010
Duquesne,A10,2010
East Carolina,CUSA,2010
East Tennessee St.,ASun,2010
Eastern Illinois,OVC,2010
Eastern Kentucky,OVC,2010
Eastern Michigan,MAC,2010
Eastern Washington,BSky,2010
Elon,SC,2010
Evansville,MVC,2010
FIU,SB,2010
Fairfield,MAAC,2010
Fairleigh Dickinson,NEC,2010
Florida,SEC,2010
Florida A&M,MEAC,2010
Florida Atlantic,SB,2010
Florida Gulf Coast,ASun,2010
Florida St.,ACC,2010
Fordham,A10,2010
Fresno St.,WAC,2010
Furman,SC,2010
Gardner Webb,BSth,2010
George Mason,CAA,2010
George Washington,A10,2010
Georgetown,BE,2010
Georgia,SEC,2010
Georgia Southern,SC,2010
Georgia St.,CAA,2010
Georgia Tech,ACC,2010
Gonzaga,WCC,2010
Grambling St.,SWAC,2010
Green Bay,Horz,2010
Hampton,MEAC,2010
Hartford,AE,2010
Harvard,Ivy,2010
Hawaii,WAC,2010
High Point,BSth,2010
Hofstra,CAA,2010
Holy Cross,Pat,2010
Houston,CUSA,2010
Houston Baptist,GWC,2010
Howard,MEAC,2010
IPFW,Sum,2010
IUPUI,Sum,2010
Idaho,WAC,2010
Idaho St.,BSky,2010
Illinois,B10,2010
Illinois Chicago,Horz,2010
Illinois St.,MVC,2010
Indiana,B10,2010
Indiana St.,MVC,2010
Iona,MAAC,2010
Iowa,B10,2010
Iowa St.,B12,2010
Jackson St.,SWAC,2010
Jacksonville,ASun,2010
Jacksonville St.,OVC,2010
James Madison,CAA,2010
Kansas,B12,2010
Kansas St.,B12,2010
Kennesaw St.,ASun,2010
Kent St.,MAC,2010
Kentucky,SEC,2010
LIU Brooklyn,NEC,2010
LSU,SEC,2010
La Salle,A10,2010
Lafayette,Pat,2010
Lamar,Slnd,2010
Lehigh,Pat,2010
Liberty,BSth,2010
Lipscomb,ASun,2010
Long Beach St.,BW,2010
Longwood,ind,2010
Louisiana Lafayette,SB,2010
Louisiana Monroe,SB,2010
Louisiana Tech,WAC,2010
Louisville,BE,2010
Loyola Chicago,Horz,2010
Loyola MD,MAAC,2010
Loyola Marymount,WCC,2010
Maine,AE,2010
Manhattan,MAAC,2010
Marist,MAAC,2010
Marquette,BE,2010
Marshall,CUSA,2010
Maryland,ACC,2010
Maryland Eastern Shore,MEAC,2010
Massachusetts,A10,2010
McNeese St.,Slnd,2010
Memphis,CUSA,2010
Mercer,ASun,2010
Miami FL,ACC,2010
Miami OH,MAC,2010
Michigan,B10,2010
Michigan St.,B10,2010
Middle Tennessee,SB,2010
Milwaukee,Horz,2010
Minnesota,B10,2010
Mississippi,SEC,2010
Mississippi St.,SEC,2010
Mississippi Valley St.,SWAC,2010
Missouri,B12,2010
Missouri St.,MVC,2010
Monmouth,NEC,2010
Montana,BSky,2010
Montana St.,BSky,2010
Morehead St.,OVC,2010
Morgan St.,MEAC,2010
Mount St. Mary's,NEC,2010
Murray St.,OVC,2010
N.C. State,ACC,2010
NJIT,GWC,2010
Navy,Pat,2010
Nebraska,B12,2010
Nevada,WAC,2010
New Hampshire,AE,2010
New Mexico,MWC,2010
New Mexico St.,WAC,2010
New Orleans,SB,2010
Niagara,MAAC,2010
Nicholls St.,Slnd,2010
Norfolk St.,MEAC,2010
North Carolina,ACC,2010
North Carolina A&T,MEAC,2010
North Carolina Central,ind,2010
North Dakota,GWC,2010
North Dakota St.,Sum,2010
North Florida,ASun,2010
North Texas,SB,2010
Northeastern,CAA,2010
Northern Arizona,BSky,2010
Northern Colorado,BSky,2010
Northern Illinois,MAC,2010
Northern Iowa,MVC,2010
Northwestern,B10,2010
Northwestern St.,Slnd,2010
Notre Dame,BE,2010
Oakland,Sum,2010
Ohio,MAC,2010
Ohio St.,B10,2010
Oklahoma,B12,2010
Oklahoma St.,B12,2010
Old Dominion,CAA,2010
Oral Roberts,Sum,2010
Oregon,P10,2010
Oregon St.,P10,2010
Pacific,BW,2010
Penn,Ivy,2010
Penn St.,B10,2010
Pepperdine,WCC,2010
Pittsburgh,BE,2010
Portland,WCC,2010
Portland St.,BSky,2010
Prairie View A&M,SWAC,2010
Presbyterian,BSth,2010
Princeton,Ivy,2010
Providence,BE,2010
Purdue,B10,2010
Quinnipiac,NEC,2010
Radford,BSth,2010
Rhode Island,A10,2010
Rice,CUSA,2010
Richmond,A10,2010
Rider,MAAC,2010
Robert Morris,NEC,2010
Rutgers,BE,2010
SIU Edwardsville,ind,2010
SMU,CUSA,2010
Sacramento St.,BSky,2010
Sacred Heart,NEC,2010
Saint Joseph's,A10,2010
Saint Louis,A10,2010
Saint Mary's,WCC,2010
Saint Peter's,MAAC,2010
Sam Houston St.,Slnd,2010
Samford,SC,2010
San Diego,WCC,2010
San Diego St.,MWC,2010
San Francisco,WCC,2010
San Jose St.,WAC,2010
Santa Clara,WCC,2010
Savannah St.,ind,2010
Seattle,ind,2010
Seton Hall,BE,2010
Siena,MAAC,2010
South Alabama,SB,2010
South Carolina,SEC,2010
South Carolina St.,MEAC,2010
South Dakota,GWC,2010
South Dakota St.,Sum,2010
South Florida,BE,2010
Southeast Missouri St.,OVC,2010
Southeastern Louisiana,Slnd,2010
Southern,SWAC,2010
Southern Illinois,MVC,2010
Southern Miss,CUSA,2010
Southern Utah,Sum,2010
St. Bonaventure,A10,2010
St. Francis NY,NEC,2010
St. Francis PA,NEC,2010
St. John's,BE,2010
Stanford,P10,2010
Stephen F. Austin,Slnd,2010
Stetson,ASun,2010
Stony Brook,AE,2010
Syracuse,BE,2010
TCU,MWC,2010
Temple,A10,2010
Tennessee,SEC,2010
Tennessee Martin,OVC,2010
Tennessee St.,OVC,2010
Tennessee Tech,OVC,2010
Texas,B12,2010
Texas A&M,B12,2010
Texas A&M Corpus Chris,Slnd,2010
Texas Pan American,GWC,2010
Texas Southern,SWAC,2010
Texas St.,Slnd,2010
Texas Tech,B12,2010
The Citadel,SC,2010
Toledo,MAC,2010
Towson,CAA,2010
Troy,SB,2010
Tulane,CUSA,2010
Tulsa,CUSA,2010
UAB,CUSA,2010
UC Davis,BW,2010
UC Irvine,BW,2010
UC Riverside,BW,2010
UC Santa Barbara,BW,2010
UCF,CUSA,2010
UCLA,P10,2010
UMBC,AE,2010
UMKC,Sum,2010
UNC Asheville,BSth,2010
UNC Greensboro,SC,2010
UNC Wilmington,CAA,2010
UNLV,MWC,2010
USC,P10,2010
USC Upstate,ASun,2010
UT Arlington,Slnd,2010
UTEP,CUSA,2010
UTSA,Slnd,2010
Utah,MWC,2010
Utah St.,WAC,2010
Utah Valley,GWC,2010
VCU,CAA,2010
VMI,BSth,2010
Valparaiso,Horz,2010
Vanderbilt,SEC,2010
Vermont,AE,2010
Villanova,BE,2010
Virginia,ACC,2010
Virginia Tech,ACC,2010
Wagner,NEC,2010
Wake Forest,ACC,2010
Washington,P10,2010
Washington St.,P10,2010
Weber St.,BSky,2010
West Virginia,BE,2010
Western Carolina,SC,2010
Western Illinois,Sum,2010
Western Kentucky,SB,2010
Western Michigan,MAC,2010
Wichita St.,MVC,2010
William & Mary,CAA,2010
Winston Salem St.,ind,2010
Winthrop,BSth,2010
Wisconsin,B10,2010
Wofford,SC,2010
Wright St.,Horz,2010
Wyoming,MWC,2010
Xavier,A10,2010
Yale,Ivy,2010
Youngstown St.,Horz,2010
Air Force,MWC,2009
Akron,MAC,2009
Alabama,SEC,2009
Alabama A&M,SWAC,2009
Alabama St.,SWAC,2009
Albany,AE,2009
Alcorn St.,SWAC,2009
American,Pat,2009
Appalachian St.,SC,2009
Arizona,P10,2009
Arizona St.,P10,2009
Arkansas,SEC,2009
Arkansas Little Rock,SB,2009
Arkansas Pine Bluff,SWAC,2009
Arkansas St.,SB,2009
Army,Pat,2009
Auburn,SEC,2009
Austin Peay,OVC,2009
BYU,MWC,2009
Ball St.,MAC,2009
Baylor,B12,2009
Belmont,ASun,2009
Bethune Cookman,MEAC,2009
Binghamton,AE,2009
Boise St.,WAC,2009
Boston College,ACC,2009
Boston University,AE,2009
Bowling Green,MAC,2009
Bradley,MVC,2009
Brown,Ivy,2009
Bryant,ind,2009
Bucknell,Pat,2009
Buffalo,MAC,2009
Butler,Horz,2009
Cal Poly,BW,2009
Cal St. Bakersfield,ind,2009
Cal St. Fullerton,BW,2009
Cal St. Northridge,BW,2009
California,P10,2009
Campbell,ASun,2009
Canisius,MAAC,2009
Centenary,Sum,2009
Central Arkansas,Slnd,2009
Central Connecticut,NEC,2009
Central Michigan,MAC,2009
Charleston Southern,BSth,2009
Charlotte,A10,2009
Chattanooga,SC,2009
Chicago St.,ind,2009
Cincinnati,BE,2009
Clemson,ACC,2009
Cleveland St.,Horz,2009
Coastal Carolina,BSth,2009
Colgate,Pat,2009
College of Charleston,SC,2009
Colorado,B12,2009
Colorado St.,MWC,2009
Columbia,Ivy,2009
Connecticut,BE,2009
Coppin St.,MEAC,2009
Cornell,Ivy,2009
