team_id,location,display_name,short_name,mascot,nickname,abbreviation,conference_id,conference_name
2029,Arkansas-Pine Bluff,Arkansas-Pine Bluff Golden Lions,AR-Pine Bluff,Golden Lions,AR-Pine Bluff,UAPB,26,Southwestern Athletic Conference
2031,Little Rock,Little Rock Trojans,Little Rock,Trojans,Little Rock,LR,20,Ohio Valley Conference
2032,Arkansas State,Arkansas State Red Wolves,Arkansas St,Red Wolves,Arkansas St,ARST,27,Sun Belt Conference
204,Oregon State,Oregon State Beavers,Oregon St,Beavers,Oregon St,ORST,21,Pac-12 Conference
2046,Austin Peay,Austin Peay Governors,Austin Peay,Governors,Austin Peay,APSU,46,ASUN Conference
2050,Ball State,Ball State Cardinals,Ball State,Cardinals,Ball State,BALL,14,Mid-American Conference
2057,Belmont,Belmont Bruins,Belmont,Bruins,Belmont,BEL,18,Missouri Valley Conference
2065,Bethune-Cookman,Bethune-Cookman Wildcats,Bethune,Wildcats,Bethune,BCU,26,Southwestern Athletic Conference
2066,Binghamton,Binghamton Bearcats,Binghamton,Bearcats,Binghamton,BING,1,America East Conference
2083,Bucknell,Bucknell Bison,Bucknell,Bison,Bucknell,BUCK,22,Patriot League
2084,Buffalo,Buffalo Bulls,Buffalo,Bulls,Buffalo,BUF,14,Mid-American Conference
2086,Butler,Butler Bulldogs,Butler,Bulldogs,Butler,BTLR,4,Big East Conference
2097,Campbell,Campbell Fighting Camels,Campbell,Fighting Camels,Campbell,CAM,6,Big South Conference
2099,Canisius,Canisius Golden Griffins,Canisius,Golden Griffins,Canisius,CAN,13,Metro Atlantic Athletic Conference
21,San Diego State,San Diego State Aztecs,San Diego St,Aztecs,San Diego St,SDSU,44,Mountain West Conference
2110,Central Arkansas,Central Arkansas Bears,C Arkansas,Bears,C Arkansas,CARK,46,ASUN Conference
2113,Centenary (LA),Centenary (LA) Gentlemen,Centenary (LA),Gentlemen,Centenary (LA),CTLA,,
2115,Central Connecticut,Central Connecticut Blue Devils,C Connecticut,Blue Devils,C Connecticut,CCSU,19,Northeast Conference
2116,UCF,UCF Knights,UCF,Knights,UCF,UCF,62,American Athletic Conference
2117,Central Michigan,Central Michigan Chippewas,C Michigan,Chippewas,C Michigan,CMU,14,Mid-American Conference
2127,Charleston Southern,Charleston Southern Buccaneers,Charleston So,Buccaneers,Charleston So,CHSO,6,Big South Conference
213,Penn State,Penn State Nittany Lions,Penn State,Nittany Lions,Penn State,PSU,7,Big Ten Conference
2130,Chicago State,Chicago State Cougars,Chicago St,Cougars,Chicago St,CHST,43,Division I Independents
2132,Cincinnati,Cincinnati Bearcats,Cincinnati,Bearcats,Cincinnati,CIN,62,American Athletic Conference
2142,Colgate,Colgate Raiders,Colgate,Raiders,Colgate,COLG,22,Patriot League
2154,Coppin State,Coppin State Eagles,Coppin St,Eagles,Coppin St,COPP,16,Mid-Eastern Athletic Conference
2166,Davidson,Davidson Wildcats,Davidson,Wildcats,Davidson,DAV,3,Atlantic 10 Conference
2168,Dayton,Dayton Flyers,Dayton,Flyers,Dayton,DAY,3,Atlantic 10 Conference
2169,Delaware State,Delaware State Hornets,Delaware St,Hornets,Delaware St,DSU,16,Mid-Eastern Athletic Conference
2172,Denver,Denver Pioneers,Denver,Pioneers,Denver,DEN,49,Summit League
2174,Detroit Mercy,Detroit Mercy Titans,Detroit Mercy,Titans,Detroit Mercy,DETM,45,Horizon League
218,Temple,Temple Owls,Temple,Owls,Temple,TEM,62,American Athletic Conference
2181,Drake,Drake Bulldogs,Drake,Bulldogs,Drake,DRKE,18,Missouri Valley Conference
2182,Drexel,Drexel Dragons,Drexel,Dragons,Drexel,DREX,10,Colonial Athletic Association
2184,Duquesne,Duquesne Dukes,Duquesne,Dukes,Duquesne,DUQ,3,Atlantic 10 Conference
219,Pennsylvania,Pennsylvania Quakers,Penn,Quakers,Penn,PENN,12,Ivy League
2193,East Tennessee State,East Tennessee State Buccaneers,ETSU,Buccaneers,ETSU,ETSU,24,Southern Conference
2197,Eastern Illinois,Eastern Illinois Panthers,E Illinois,Panthers,E Illinois,EIU,20,Ohio Valley Conference
2198,Eastern Kentucky,Eastern Kentucky Colonels,E Kentucky,Colonels,E Kentucky,EKU,46,ASUN Conference
2199,Eastern Michigan,Eastern Michigan Eagles,E Michigan,Eagles,E Michigan,EMU,14,Mid-American Conference
221,Pittsburgh,Pittsburgh Panthers,Pitt,Panthers,Pitt,PITT,2,Atlantic Coast Conference
2210,Elon,Elon Phoenix,Elon,Phoenix,Elon,ELON,10,Colonial Athletic Association
2217,Fairfield,Fairfield Stags,Fairfield,Stags,Fairfield,FAIR,13,Metro Atlantic Athletic Conference
222,Villanova,Villanova Wildcats,Villanova,Wildcats,Villanova,VILL,4,Big East Conference
2226,Florida Atlantic,Florida Atlantic Owls,FAU,Owls,FAU,FAU,11,Conference USA
2229,Florida International,Florida International Panthers,FIU,Panthers,FIU,FIU,11,Conference USA
2230,Fordham,Fordham Rams,Fordham,Rams,Fordham,FOR,3,Atlantic 10 Conference
2239,Cal State Fullerton,Cal State Fullerton Titans,Fullerton,Titans,Fullerton,CSUF,9,Big West Conference
2241,Gardner-Webb,Gardner-Webb Runnin' Bulldogs,Gardner-Webb,Runnin' Bulldogs,Gardner-Webb,GWEB,6,Big South Conference
2244,George Mason,George Mason Patriots,George Mason,Patriots,George Mason,GMU,3,Atlantic 10 Conference
2247,Georgia State,Georgia State Panthers,Georgia St,Panthers,Georgia St,GAST,27,Sun Belt Conference
225,Brown,Brown Bears,Brown,Bears,Brown,BRWN,12,Ivy League
2250,Gonzaga,Gonzaga Bulldogs,Gonzaga,Bulldogs,Gonzaga,GONZ,29,West Coast Conference
2253,Grand Canyon,Grand Canyon Lopes,Grand Canyon,Lopes,Grand Canyon,GCU,30,Western Athletic Conference
2261,Hampton,Hampton Pirates,Hampton,Pirates,Hampton,HAMP,10,Colonial Athletic Association
227,Rhode Island,Rhode Island Rams,Rhode Island,Rams,Rhode Island,URI,3,Atlantic 10 Conference
2272,High Point,High Point Panthers,High Point,Panthers,High Point,HPU,6,Big South Conference
2275,Hofstra,Hofstra Pride,Hofstra,Pride,Hofstra,HOF,10,Colonial Athletic Association
2277,Houston Christian,Houston Christian Huskies,Hou Christian,Huskies,Hou Christian,HCU,25,Southland Conference
228,Clemson,Clemson Tigers,Clemson,Tigers,Clemson,CLEM,2,Atlantic Coast Conference
2287,Illinois State,Illinois State Redbirds,Illinois St,Redbirds,Illinois St,ILST,18,Missouri Valley Conference
2294,Iowa,Iowa Hawkeyes,Iowa,Hawkeyes,Iowa,IOWA,7,Big Ten Conference
2296,Jackson State,Jackson State Tigers,Jackson St,Tigers,Jackson St,JKST,26,Southwestern Athletic Conference
23,San José State,San José State Spartans,San José St,Spartans,San José St,SJSU,44,Mountain West Conference
2305,Kansas,Kansas Jayhawks,Kansas,Jayhawks,Kansas,KU,8,Big 12 Conference
2306,Kansas State,Kansas State Wildcats,Kansas St,Wildcats,Kansas St,KSU,8,Big 12 Conference
2309,Kent State,Kent State Golden Flashes,Kent State,Golden Flashes,Kent State,KENT,14,Mid-American Conference
231,Furman,Furman Paladins,Furman,Paladins,Furman,FUR,24,Southern Conference
232,Charleston,Charleston Cougars,Charleston,Cougars,Charleston,COFC,10,Colonial Athletic Association
2320,Lamar,Lamar Cardinals,Lamar,Cardinals,Lamar,LAM,25,Southland Conference
2325,La Salle,La Salle Explorers,La Salle,Explorers,La Salle,LAS,3,Atlantic 10 Conference
2329,Lehigh,Lehigh Mountain Hawks,Lehigh,Mountain Hawks,Lehigh,LEH,22,Patriot League
233,South Dakota,South Dakota Coyotes,South Dakota,Coyotes,South Dakota,SDAK,49,Summit League
2330,Le Moyne,Le Moyne Dolphins,Le Moyne,Dolphins,Le Moyne,LEM,,
2335,Liberty,Liberty Flames,Liberty,Flames,Liberty,LIB,46,ASUN Conference
2344,Longwood,Longwood Lancers,Longwood,Lancers,Longwood,LONG,6,Big South Conference
2348,Louisiana Tech,Louisiana Tech Bulldogs,Louisiana Tech,Bulldogs,Louisiana Tech,LT,11,Conference USA
2349,UMass Lowell,UMass Lowell River Hawks,UMass Lowell,River Hawks,UMass Lowell,UML,1,America East Conference
235,Memphis,Memphis Tigers,Memphis,Tigers,Memphis,MEM,62,American Athletic Conference
2350,Loyola Chicago,Loyola Chicago Ramblers,Loyola Chicago,Ramblers,Loyola Chicago,LUC,3,Atlantic 10 Conference
2351,Loyola Marymount,Loyola Marymount Lions,LMU,Lions,LMU,LMU,29,West Coast Conference
2352,Loyola Maryland,Loyola Maryland Greyhounds,Loyola MD,Greyhounds,Loyola MD,L-MD,22,Patriot League
236,Chattanooga,Chattanooga Mocs,Chattanooga,Mocs,Chattanooga,UTC,24,Southern Conference
2363,Manhattan,Manhattan Jaspers,Manhattan,Jaspers,Manhattan,MAN,13,Metro Atlantic Athletic Conference
2368,Marist,Marist Red Foxes,Marist,Red Foxes,Marist,MRST,13,Metro Atlantic Athletic Conference
2377,McNeese,McNeese Cowboys,McNeese,Cowboys,McNeese,MCN,25,Southland Conference
2378,UMBC,UMBC Retrievers,UMBC,Retrievers,UMBC,UMBC,1,America East Conference
2379,Maryland Eastern Shore,Maryland Eastern Shore Hawks,MD Eastern,Hawks,MD Eastern,UMES,16,Mid-Eastern Athletic Conference
238,Vanderbilt,Vanderbilt Commodores,Vanderbilt,Commodores,Vanderbilt,VAN,23,Southeastern Conference
2382,Mercer,Mercer Bears,Mercer,Bears,Mercer,MER,24,Southern Conference
2385,Mercyhurst,Mercyhurst Lakers,Mercyhurst,Lakers,Mercyhurst,MERC,,
239,Baylor,Baylor Bears,Baylor,Bears,Baylor,BAY,8,Big 12 Conference
2390,Miami,Miami Hurricanes,Miami,Hurricanes,Miami,MIA,2,Atlantic Coast Conference
2393,Middle Tennessee,Middle Tennessee Blue Raiders,MTSU,Blue Raiders,MTSU,MTSU,11,Conference USA
24,Stanford,Stanford Cardinal,Stanford,Cardinal,Stanford,STAN,21,Pac-12 Conference
2400,Mississippi Valley State,Mississippi Valley State Delta Devils,Miss Valley St,Delta Devils,Miss Valley St,MVSU,26,Southwestern Athletic Conference
2405,Monmouth,Monmouth Hawks,Monmouth,Hawks,Monmouth,MONM,10,Colonial Athletic Association
2413,Morehead State,Morehead State Eagles,Morehead St,Eagles,Morehead St,MORE,20,Ohio Valley Conference
2415,Morgan State,Morgan State Bears,Morgan St,Bears,Morgan St,MORG,16,Mid-Eastern Athletic Conference
242,Rice,Rice Owls,Rice,Owls,Rice,RICE,11,Conference USA
2426,Navy,Navy Midshipmen,Navy,Midshipmen,Navy,NAVY,22,Patriot League
2427,UNC Asheville,UNC Asheville Bulldogs,UNC Asheville,Bulldogs,UNC Asheville,UNCA,6,Big South Conference
2428,North Carolina Central,North Carolina Central Eagles,NC Central,Eagles,NC Central,NCCU,16,Mid-Eastern Athletic Conference
2429,Charlotte,Charlotte 49ers,Charlotte,49ers,Charlotte,CLT,11,Conference USA
2430,UNC Greensboro,UNC Greensboro Spartans,UNC Greensboro,Spartans,UNC Greensboro,UNCG,24,Southern Conference
2433,UL Monroe,UL Monroe Warhawks,UL Monroe,Warhawks,UL Monroe,ULM,27,Sun Belt Conference
2437,Omaha,Omaha Mavericks,Omaha,Mavericks,Omaha,OMA,49,Summit League
2439,UNLV,UNLV Rebels,UNLV,Rebels,UNLV,UNLV,44,Mountain West Conference
2440,Nevada,Nevada Wolf Pack,Nevada,Wolf Pack,Nevada,NEV,44,Mountain West Conference
2441,New Haven,New Haven Chargers,New Haven,Chargers,New Haven,NHVN,,
2443,LSU New Orleans,LSU New Orleans Privateers,New Orleans,Privateers,New Orleans,NOLA,25,Southland Conference
2447,Nicholls,Nicholls Colonels,Nicholls,Colonels,Nicholls,NICH,25,Southland Conference
2448,North Carolina A&T,North Carolina A&T Aggies,NC A&T,Aggies,NC A&T,NCAT,10,Colonial Athletic Association
2449,North Dakota State,North Dakota State Bison,N Dakota St,Bison,N Dakota St,NDSU,49,Summit League
245,Texas A&M,Texas A&M Aggies,Texas A&M,Aggies,Texas A&M,TA&M,23,Southeastern Conference
2450,Norfolk State,Norfolk State Spartans,Norfolk St,Spartans,Norfolk St,NORF,16,Mid-Eastern Athletic Conference
2453,North Alabama,North Alabama Lions,North Alabama,Lions,North Alabama,UNA,46,ASUN Conference
2454,North Florida,North Florida Ospreys,North Florida,Ospreys,North Florida,UNF,46,ASUN Conference
2458,Northern Colorado,Northern Colorado Bears,N Colorado,Bears,N Colorado,UNCO,5,Big Sky Conference
2459,Northern Illinois,Northern Illinois Huskies,N Illinois,Huskies,N Illinois,NIU,14,Mid-American Conference
2460,Northern Iowa,Northern Iowa Panthers,Northern Iowa,Panthers,Northern Iowa,UNI,18,Missouri Valley Conference
2463,Cal State Northridge,Cal State Northridge Matadors,CSU Northridge,Matadors,CSU Northridge,CSUN,9,Big West Conference
2464,Northern Arizona,Northern Arizona Lumberjacks,N Arizona,Lumberjacks,N Arizona,NAU,5,Big Sky Conference
2466,Northwestern State,Northwestern State Demons,N'Western St,Demons,N'Western St,NWST,25,Southland Conference
2473,Oakland,Oakland Golden Grizzlies,Oakland,Golden Grizzlies,Oakland,OAK,45,Horizon League
248,Houston,Houston Cougars,Houston,Cougars,Houston,HOU,62,American Athletic Conference
2483,Oregon,Oregon Ducks,Oregon,Ducks,Oregon,ORE,21,Pac-12 Conference
249,North Texas,North Texas Mean Green,North Texas,Mean Green,North Texas,UNT,11,Conference USA
2492,Pepperdine,Pepperdine Waves,Pepperdine,Waves,Pepperdine,PEPP,29,West Coast Conference
25,California,California Golden Bears,California,Golden Bears,California,CAL,21,Pac-12 Conference
250,UT Arlington,UT Arlington Mavericks,UT Arlington,Mavericks,UT Arlington,UTA,30,Western Athletic Conference
2501,Portland,Portland Pilots,Portland,Pilots,Portland,PORT,29,West Coast Conference
2502,Portland State,Portland State Vikings,Portland St,Vikings,Portland St,PRST,5,Big Sky Conference
2504,Prairie View A&M,Prairie View A&M Panthers,Prairie View,Panthers,Prairie View,PV,26,Southwestern Athletic Conference
2506,Presbyterian,Presbyterian Blue Hose,Presbyterian,Blue Hose,Presbyterian,PRES,6,Big South Conference
2507,Providence,Providence Friars,Providence,Friars,Providence,PROV,4,Big East Conference
2509,Purdue,Purdue Boilermakers,Purdue,Boilermakers,Purdue,PUR,7,Big Ten Conference
251,Texas,Texas Longhorns,Texas,Longhorns,Texas,TEX,8,Big 12 Conference
2511,Queens University,Queens University Royals,Queens,Royals,Queens,QUC,,
2514,Quinnipiac,Quinnipiac Bobcats,Quinnipiac,Bobcats,Quinnipiac,QUIN,13,Metro Atlantic Athletic Conference
2515,Radford,Radford Highlanders,Radford,Highlanders,Radford,RAD,6,Big South Conference
252,BYU,BYU Cougars,BYU,Cougars,BYU,BYU,29,West Coast Conference
2520,Rider,Rider Broncs,Rider,Broncs,Rider,RID,13,Metro Atlantic Athletic Conference
2523,Robert Morris,Robert Morris Colonials,Robert Morris,Colonials,Robert Morris,RMU,45,Horizon League
2529,Sacred Heart,Sacred Heart Pioneers,Sacred Heart,Pioneers,Sacred Heart,SHU,19,Northeast Conference
253,Southern Utah,Southern Utah Thunderbirds,Southern Utah,Thunderbirds,Southern Utah,SUU,30,Western Athletic Conference
2534,Sam Houston,Sam Houston Bearkats,Sam Houston,Bearkats,Sam Houston,SHSU,30,Western Athletic Conference
2535,Samford,Samford Bulldogs,Samford,Bulldogs,Samford,SAM,24,Southern Conference
2539,San Francisco,San Francisco Dons,San Francisco,Dons,San Francisco,SF,29,West Coast Conference
254,Utah,Utah Utes,Utah,Utes,Utah,UTAH,21,Pac-12 Conference
2540,UC Santa Barbara,UC Santa Barbara Gauchos,Santa Barbara,Gauchos,Santa Barbara,UCSB,9,Big West Conference
2541,Santa Clara,Santa Clara Broncos,Santa Clara,Broncos,Santa Clara,SCU,29,West Coast Conference
2542,Savannah State,Savannah State Tigers,Savannah St,Tigers,Savannah St,SAV,,
2545,SE Louisiana,SE Louisiana Lions,SE Louisiana,Lions,SE Louisiana,SELA,25,Southland Conference
2546,Southeast Missouri State,Southeast Missouri State Redhawks,SE Missouri,Redhawks,SE Missouri,SEMO,20,Ohio Valley Conference
2547,Seattle U,Seattle U Redhawks,Seattle U,Redhawks,Seattle U,SEA,30,Western Athletic Conference
2550,Seton Hall,Seton Hall Pirates,Seton Hall,Pirates,Seton Hall,HALL,4,Big East Conference
256,James Madison,James Madison Dukes,James Madison,Dukes,James Madison,JMU,27,Sun Belt Conference
2561,Siena,Siena Saints,Siena,Saints,Siena,SIE,13,Metro Atlantic Athletic Conference
2565,SIU Edwardsville,SIU Edwardsville Cougars,SIUE,Cougars,SIUE,SIUE,20,Ohio Valley Conference
2567,SMU,SMU Mustangs,SMU,Mustangs,SMU,SMU,62,American Athletic Conference
2569,South Carolina State,South Carolina State Bulldogs,SC State,Bulldogs,SC State,SCST,16,Mid-Eastern Athletic Conference
257,Richmond,Richmond Spiders,Richmond,Spiders,Richmond,RICH,3,Atlantic 10 Conference
2571,South Dakota State,South Dakota State Jackrabbits,S Dakota St,Jackrabbits,S Dakota St,SDST,49,Summit League
2572,Southern Miss,Southern Miss Golden Eagles,Southern Miss,Golden Eagles,Southern Miss,USM,27,Sun Belt Conference
2579,South Carolina,South Carolina Gamecocks,South Carolina,Gamecocks,South Carolina,SC,23,Southeastern Conference
258,Virginia,Virginia Cavaliers,Virginia,Cavaliers,Virginia,UVA,2,Atlantic Coast Conference
2582,Southern,Southern Jaguars,Southern,Jaguars,Southern,SOU,26,Southwestern Athletic Conference
259,Virginia Tech,Virginia Tech Hokies,Virginia Tech,Hokies,Virginia Tech,VT,2,Atlantic Coast Conference
2597,St. Francis Brooklyn,St. Francis Brooklyn Terriers,St Francis BK,Terriers,St Francis BK,SFNY,19,Northeast Conference
2598,St. Francis (PA),St. Francis (PA) Red Flash,St Francis PA,Red Flash,St Francis PA,SFPA,19,Northeast Conference
2599,St. John's,St. John's Red Storm,St John's,Red Storm,St John's,SJU,4,Big East Conference
26,UCLA,UCLA Bruins,UCLA,Bruins,UCLA,UCLA,21,Pac-12 Conference
2603,Saint Joseph's,Saint Joseph's Hawks,Saint Joseph's,Hawks,Saint Joseph's,JOES,3,Atlantic 10 Conference
2608,Saint Mary's,Saint Mary's Gaels,Saint Mary's,Gaels,Saint Mary's,SMC,29,West Coast Conference
261,Vermont,Vermont Catamounts,Vermont,Catamounts,Vermont,UVM,1,America East Conference
2612,Saint Peter's,Saint Peter's Peacocks,Saint Peter's,Peacocks,Saint Peter's,SPU,13,Metro Atlantic Athletic Conference
2617,Stephen F. Austin,Stephen F. Austin Lumberjacks,SF Austin,Lumberjacks,SF Austin,SFA,30,Western Athletic Conference
2619,Stony Brook,Stony Brook Seawolves,Stony Brook,Seawolves,Stony Brook,STBK,10,Colonial Athletic Association
2623,Missouri State,Missouri State Bears,Missouri St,Bears,Missouri St,MOST,18,Missouri Valley Conference
2627,Tarleton State,Tarleton State Texans,Tarleton St,Texans,Tarleton St,TAR,30,Western Athletic Conference
2628,TCU,TCU Horned Frogs,TCU,Horned Frogs,TCU,TCU,8,Big 12 Conference
2630,UT Martin,UT Martin Skyhawks,UT Martin,Skyhawks,UT Martin,UTM,20,Ohio Valley Conference
2633,Tennessee,Tennessee Volunteers,Tennessee,Volunteers,Tennessee,TENN,23,Southeastern Conference
2634,Tennessee State,Tennessee State Tigers,Tennessee St,Tigers,Tennessee St,TNST,20,Ohio Valley Conference
2635,Tennessee Tech,Tennessee Tech Golden Eagles,Tennessee Tech,Golden Eagles,Tennessee Tech,TNTC,20,Ohio Valley Conference
2636,UTSA,UTSA Roadrunners,UTSA,Roadrunners,UTSA,UTSA,11,Conference USA
2638,UTEP,UTEP Miners,UTEP,Miners,UTEP,UTEP,11,Conference USA
264,Washington,Washington Huskies,Washington,Huskies,Washington,WASH,21,Pac-12 Conference
2640,Texas Southern,Texas Southern Tigers,Texas Southern,Tigers,Texas Southern,TXSO,26,Southwestern Athletic Conference
2641,Texas Tech,Texas Tech Red Raiders,Texas Tech,Red Raiders,Texas Tech,TTU,8,Big 12 Conference
2643,The Citadel,The Citadel Bulldogs,The Citadel,Bulldogs,The Citadel,CIT,24,Southern Conference
2649,Toledo,Toledo Rockets,Toledo,Rockets,Toledo,TOL,14,Mid-American Conference
265,Washington State,Washington State Cougars,Washington St,Cougars,Washington St,WSU,21,Pac-12 Conference
2653,Troy,Troy Trojans,Troy,Trojans,Troy,TROY,27,Sun Belt Conference
2655,Tulane,Tulane Green Wave,Tulane,Green Wave,Tulane,TULN,62,American Athletic Conference
2670,VCU,VCU Rams,VCU,Rams,VCU,VCU,3,Atlantic 10 Conference
2674,Valparaiso,Valparaiso Beacons,Valparaiso,Beacons,Valparaiso,VAL,18,Missouri Valley Conference
2678,VMI,VMI Keydets,VMI,Keydets,VMI,VMI,24,Southern Conference
2681,Wagner,Wagner Seahawks,Wagner,Seahawks,Wagner,WAG,19,Northeast Conference
269,Marquette,Marquette Golden Eagles,Marquette,Golden Eagles,Marquette,MARQ,4,Big East Conference
2692,Weber State,Weber State Wildcats,Weber St,Wildcats,Weber St,WEB,5,Big Sky Conference
2697,West Florida,West Florida Argonauts,West Florida,Argonauts,West Florida,WFL,,
2698,West Georgia,West Georgia Wolves,West Georgia,Wolves,West Georgia,WGA,,
27,UC Riverside,UC Riverside Highlanders,UC Riverside,Highlanders,UC Riverside,UCR,9,Big West Conference
270,Milwaukee,Milwaukee Panthers,Milwaukee,Panthers,Milwaukee,MILW,45,Horizon League
2710,Western Illinois,Western Illinois Leathernecks,W Illinois,Leathernecks,W Illinois,WIU,49,Summit League
2711,Western Michigan,Western Michigan Broncos,W Michigan,Broncos,W Michigan,WMU,14,Mid-American Conference
